Well	Well Name 	Target	Threshold (∆Rn)	Cq (∆Rn)	
H7  	1925910321	FAM   	0.06           	34.21   	
H7  	1925910321	HEX   	0.06           	24      	
H7  	1925910321	CY5   	0.12           	25.31   	
H8  	1925910329	FAM   	0.06           	35.49   	
H8  	1925910329	HEX   	0.06           	24.51   	
H8  	1925910329	CY5   	0.12           	25.26   	
H9  	1925910337	FAM   	0.06           	No Cq   	
H9  	1925910337	HEX   	0.06           	25.52   	
H9  	1925910337	CY5   	0.12           	26.43   	
H10 	1925910345	FAM   	0.06           	33.78   	
H10 	1925910345	HEX   	0.06           	23.87   	
H10 	1925910345	CY5   	0.12           	25.31   	
H11 	1925910353	FAM   	0.06           	35.53   	
H11 	1925910353	HEX   	0.06           	23.76   	
H11 	1925910353	CY5   	0.12           	25.43   	
H12 	---       	FAM   	0.06           	No Cq   	
H12 	---       	HEX   	0.06           	No Cq   	
H12 	---       	CY5   	0.12           	No Cq   	
